user_id,post_id,engagement
U1,P52,1
U1,P44,0
U1,P1,1
U1,P4,1
U1,P65,0
U1,P32,1
U1,P39,0
U1,P33,0
U1,P38,1
U1,P61,0
U1,P27,0
U1,P96,0
U1,P83,0
U1,P85,0
U1,P91,1
U1,P57,1
U1,P88,1
U1,P60,1
U1,P6,1
U1,P76,1
U2,P96,1
U2,P4,1
U2,P68,0
U2,P52,0
U2,P66,0
U2,P73,0
U2,P89,0
U2,P67,0
U2,P46,1
U2,P83,1
U2,P40,0
U2,P7,0
U2,P77,0
U2,P81,0
U2,P87,0
U2,P70,1
U2,P48,0
U2,P51,1
U2,P91,1
U2,P42,0
U3,P89,0
U3,P78,1
U3,P24,1
U3,P20,1
U3,P59,0
U3,P42,1
U3,P44,0
U3,P73,0
U3,P7,0
U3,P68,1
U3,P35,0
U3,P80,1
U3,P45,1
U3,P41,0
U3,P81,1
U3,P33,0
U3,P49,0
U3,P65,0
U3,P93,0
U3,P58,1
U4,P58,1
U4,P73,1
U4,P27,0
U4,P81,0
U4,P37,1
U4,P50,1
U4,P25,1
U4,P79,0
U4,P16,1
U4,P98,0
U4,P7,0
U4,P32,0
U4,P82,1
U4,P68,1
U4,P17,1
U4,P61,0
U4,P72,1
U4,P28,0
U4,P39,1
U4,P93,0
U5,P19,0
U5,P92,1
U5,P3,1
U5,P61,0
U5,P9,0
U5,P44,0
U5,P82,0
U5,P21,1
U5,P22,0
U5,P34,0
U5,P93,0
U5,P28,1
U5,P40,0
U5,P37,1
U5,P16,0
U5,P46,1
U5,P79,1
U5,P56,0
U5,P95,0
U5,P89,1
U6,P9,1
U6,P50,1
U6,P42,0
U6,P85,1
U6,P93,1
U6,P12,1
U6,P6,1
U6,P73,1
U6,P37,0
U6,P60,1
U6,P11,0
U6,P68,0
U6,P57,1
U6,P36,0
U6,P75,1
U6,P79,0
U6,P21,1
U6,P27,0
U6,P88,1
U6,P5,1
U7,P16,1
U7,P93,1
U7,P78,1
U7,P15,1
U7,P86,1
U7,P79,0
U7,P77,1
U7,P68,1
U7,P90,1
U7,P88,1
U7,P72,1
U7,P32,1
U7,P3,1
U7,P64,1
U7,P76,1
U7,P63,1
U7,P55,0
U7,P49,1
U7,P65,0
U7,P44,1
U8,P98,0
U8,P28,1
U8,P50,0
U8,P61,1
U8,P57,1
U8,P22,1
U8,P38,1
U8,P8,0
U8,P92,0
U8,P6,0
U8,P19,0
U8,P53,1
U8,P27,0
U8,P58,0
U8,P11,1
U8,P12,1
U8,P64,1
U8,P96,1
U8,P99,0
U8,P91,0
U9,P30,0
U9,P35,0
U9,P57,1
U9,P26,1
U9,P15,0
U9,P49,1
U9,P44,1
U9,P53,0
U9,P47,1
U9,P55,1
U9,P90,0
U9,P22,0
U9,P20,0
U9,P8,1
U9,P1,1
U9,P79,1
U9,P98,0
U9,P46,1
U9,P41,1
U9,P39,0
U10,P37,0
U10,P98,0
U10,P31,1
U10,P40,0
U10,P66,0
U10,P10,0
U10,P52,0
U10,P96,1
U10,P76,1
U10,P36,0
U10,P23,1
U10,P28,1
U10,P90,0
U10,P5,1
U10,P73,0
U10,P63,0
U10,P85,1
U10,P99,0
U10,P42,1
U10,P78,1
U11,P11,0
U11,P1,1
U11,P87,0
U11,P68,1
U11,P43,0
U11,P63,1
U11,P71,1
U11,P96,0
U11,P57,1
U11,P42,0
U11,P47,0
U11,P54,0
U11,P48,0
U11,P16,0
U11,P39,1
U11,P23,1
U11,P34,1
U11,P2,0
U11,P27,1
U11,P94,0
U12,P38,1
U12,P72,1
U12,P3,1
U12,P4,1
U12,P87,1
U12,P46,1
U12,P92,1
U12,P54,0
U12,P75,0
U12,P51,1
U12,P42,0
U12,P7,1
U12,P22,1
U12,P55,1
U12,P17,0
U12,P19,0
U12,P62,0
U12,P91,1
U12,P63,1
U12,P95,1
U13,P41,1
U13,P47,0
U13,P61,1
U13,P51,1
U13,P17,0
U13,P27,1
U13,P63,1
U13,P62,1
U13,P24,1
U13,P7,1
U13,P39,0
U13,P84,0
U13,P86,1
U13,P79,0
U13,P77,1
U13,P92,1
U13,P32,0
U13,P18,0
U13,P30,1
U13,P10,0
U14,P62,0
U14,P43,1
U14,P85,0
U14,P16,0
U14,P1,1
U14,P14,0
U14,P20,0
U14,P70,0
U14,P96,1
U14,P76,0
U14,P28,1
U14,P29,1
U14,P91,0
U14,P90,1
U14,P58,0
U14,P99,0
U14,P17,1
U14,P23,1
U14,P79,1
U14,P75,1
U15,P28,0
U15,P46,1
U15,P84,0
U15,P41,1
U15,P78,1
U15,P88,1
U15,P72,1
U15,P40,0
U15,P90,1
U15,P29,1
U15,P39,0
U15,P24,0
U15,P94,1
U15,P17,0
U15,P86,0
U15,P50,0
U15,P19,0
U15,P5,1
U15,P32,1
U15,P11,1
U16,P47,1
U16,P57,1
U16,P16,1
U16,P27,0
U16,P74,1
U16,P67,1
U16,P6,0
U16,P97,0
U16,P20,0
U16,P51,0
U16,P12,1
U16,P18,0
U16,P7,1
U16,P43,0
U16,P54,0
U16,P73,0
U16,P4,0
U16,P14,0
U16,P84,1
U16,P35,1
U17,P57,1
U17,P26,1
U17,P92,1
U17,P63,0
U17,P76,1
U17,P20,0
U17,P41,0
U17,P79,1
U17,P42,1
U17,P48,0
U17,P6,0
U17,P54,1
U17,P28,0
U17,P95,0
U17,P49,0
U17,P35,0
U17,P9,0
U17,P53,0
U17,P69,0
U17,P14,1
U18,P25,1
U18,P81,0
U18,P32,0
U18,P23,1
U18,P59,0
U18,P91,1
U18,P2,0
U18,P52,0
U18,P44,0
U18,P79,0
U18,P96,1
U18,P56,0
U18,P8,1
U18,P75,0
U18,P51,0
U18,P40,1
U18,P12,0
U18,P53,1
U18,P50,1
U18,P38,1
U19,P77,0
U19,P13,0
U19,P98,1
U19,P45,0
U19,P88,1
U19,P36,1
U19,P46,0
U19,P85,1
U19,P66,0
U19,P18,1
U19,P25,0
U19,P11,1
U19,P30,0
U19,P74,1
U19,P79,1
U19,P44,0
U19,P6,0
U19,P23,1
U19,P80,1
U19,P1,0
U20,P99,1
U20,P37,0
U20,P98,1
U20,P43,1
U20,P90,1
U20,P36,0
U20,P87,0
U20,P77,0
U20,P56,0
U20,P14,0
U20,P39,0
U20,P38,0
U20,P40,0
U20,P65,1
U20,P10,0
U20,P85,0
U20,P45,0
U20,P49,0
U20,P91,1
U20,P97,0
U21,P72,0
U21,P80,0
U21,P10,0
U21,P99,0
U21,P81,0
U21,P56,0
U21,P27,0
U21,P39,1
U21,P67,0
U21,P13,0
U21,P86,0
U21,P94,1
U21,P25,0
U21,P18,0
U21,P77,1
U21,P31,0
U21,P7,0
U21,P97,0
U21,P93,0
U21,P6,0
U22,P42,0
U22,P50,0
U22,P43,1
U22,P31,0
U22,P38,0
U22,P92,1
U22,P81,0
U22,P5,0
U22,P24,1
U22,P32,1
U22,P83,1
U22,P26,0
U22,P73,0
U22,P63,0
U22,P65,1
U22,P56,1
U22,P16,0
U22,P57,1
U22,P87,0
U22,P34,0
U23,P25,0
U23,P70,1
U23,P97,0
U23,P55,1
U23,P72,1
U23,P12,0
U23,P14,0
U23,P41,1
U23,P92,0
U23,P58,1
U23,P51,0
U23,P1,1
U23,P52,1
U23,P85,1
U23,P86,0
U23,P67,1
U23,P40,1
U23,P10,0
U23,P81,0
U23,P84,0
U24,P97,0
U24,P74,1
U24,P44,1
U24,P54,1
U24,P95,1
U24,P6,0
U24,P100,0
U24,P14,1
U24,P73,1
U24,P18,0
U24,P58,1
U24,P28,0
U24,P82,0
U24,P80,0
U24,P9,1
U24,P49,1
U24,P67,0
U24,P36,1
U24,P57,0
U24,P60,0
U25,P44,1
U25,P73,0
U25,P16,0
U25,P90,1
U25,P49,0
U25,P42,0
U25,P75,0
U25,P95,1
U25,P7,1
U25,P77,0
U25,P33,0
U25,P51,1
U25,P3,1
U25,P37,0
U25,P36,0
U25,P35,0
U25,P96,1
U25,P79,0
U25,P99,0
U25,P47,1
U26,P19,1
U26,P39,1
U26,P30,0
U26,P95,0
U26,P85,0
U26,P27,0
U26,P66,0
U26,P23,0
U26,P67,0
U26,P61,1
U26,P11,0
U26,P40,0
U26,P4,1
U26,P33,1
U26,P41,1
U26,P79,1
U26,P62,1
U26,P81,1
U26,P6,0
U26,P5,0
U27,P9,0
U27,P35,1
U27,P55,1
U27,P69,1
U27,P67,1
U27,P20,1
U27,P56,1
U27,P40,1
U27,P98,0
U27,P7,1
U27,P63,1
U27,P42,0
U27,P37,1
U27,P66,0
U27,P99,1
U27,P1,1
U27,P2,0
U27,P32,0
U27,P34,0
U27,P64,1
U28,P66,0
U28,P43,1
U28,P69,1
U28,P95,0
U28,P25,1
U28,P90,1
U28,P97,1
U28,P50,0
U28,P49,0
U28,P92,0
U28,P93,1
U28,P6,1
U28,P62,0
U28,P16,0
U28,P52,1
U28,P86,1
U28,P98,1
U28,P60,1
U28,P13,0
U28,P70,1
U29,P79,1
U29,P27,1
U29,P71,1
U29,P94,1
U29,P91,0
U29,P28,1
U29,P72,0
U29,P22,1
U29,P2,0
U29,P7,0
U29,P46,0
U29,P37,1
U29,P92,0
U29,P89,1
U29,P30,0
U29,P90,0
U29,P20,1
U29,P60,0
U29,P64,0
U29,P50,1
U30,P95,0
U30,P88,1
U30,P61,1
U30,P23,1
U30,P93,0
U30,P46,1
U30,P18,1
U30,P21,1
U30,P97,0
U30,P75,1
U30,P78,0
U30,P56,1
U30,P5,0
U30,P32,1
U30,P52,0
U30,P11,1
U30,P37,1
U30,P70,1
U30,P48,1
U30,P98,0
U31,P12,1
U31,P54,0
U31,P29,1
U31,P70,0
U31,P57,1
U31,P64,0
U31,P90,1
U31,P74,0
U31,P35,1
U31,P24,0
U31,P5,1
U31,P73,1
U31,P53,0
U31,P20,1
U31,P44,1
U31,P96,1
U31,P60,0
U31,P14,0
U31,P65,0
U31,P77,0
U32,P50,1
U32,P83,0
U32,P12,1
U32,P72,0
U32,P77,0
U32,P4,0
U32,P2,1
U32,P62,1
U32,P68,1
U32,P20,0
U32,P48,0
U32,P60,0
U32,P59,0
U32,P53,1
U32,P65,0
U32,P71,0
U32,P44,0
U32,P69,0
U32,P27,0
U32,P49,0
U33,P5,1
U33,P65,0
U33,P98,1
U33,P51,1
U33,P46,0
U33,P42,0
U33,P50,1
U33,P24,1
U33,P80,0
U33,P18,1
U33,P38,1
U33,P89,0
U33,P14,1
U33,P81,1
U33,P90,1
U33,P1,1
U33,P74,0
U33,P15,0
U33,P56,0
U33,P97,0
U34,P55,1
U34,P66,0
U34,P82,1
U34,P85,1
U34,P84,0
U34,P7,1
U34,P42,1
U34,P17,0
U34,P9,1
U34,P39,1
U34,P45,1
U34,P57,0
U34,P1,0
U34,P91,0
U34,P44,1
U34,P26,0
U34,P81,1
U34,P49,0
U34,P40,1
U34,P95,0
U35,P65,1
U35,P82,1
U35,P2,0
U35,P67,1
U35,P69,0
U35,P98,0
U35,P58,1
U35,P4,1
U35,P1,1
U35,P70,0
U35,P93,0
U35,P52,1
U35,P60,0
U35,P89,0
U35,P32,0
U35,P14,0
U35,P83,1
U35,P25,0
U35,P41,1
U35,P21,0
U36,P11,0
U36,P36,0
