user_id,age,gender,top_3_interests,past_engagement_score
U1,24,F,"sports, art, gaming",0.61
U2,32,F,"travel, food, fashion",0.93
U3,28,Other,"sports, travel, fashion",0.4
U4,25,M,"fashion, music, tech",0.53
U5,24,M,"fashion, food, fitness",0.8
U6,28,M,"fashion, food, fitness",0.38
U7,28,M,"food, fashion, art",0.26
U8,21,M,"food, sports, gaming",0.43
U9,25,M,"art, travel, sports",0.33
U10,20,F,"fashion, music, literature",0.94
U11,19,M,"gaming, literature, tech",0.85
U12,29,M,"fitness, travel, gaming",0.71
U13,23,F,"food, sports, art",0.9
U14,19,M,"sports, fitness, travel",0.84
U15,18,F,"fitness, art, gaming",0.35
U16,29,M,"food, gaming, travel",0.91
U17,29,Other,"music, travel, gaming",0.63
U18,34,F,"tech, art, fitness",0.85
U19,27,M,"sports, gaming, fashion",0.92
U20,33,M,"music, food, travel",0.45
U21,32,F,"literature, gaming, tech",0.29
U22,32,F,"fashion, travel, food",0.38
U23,29,F,"sports, food, literature",0.54
U24,20,F,"fashion, art, food",0.85
U25,22,M,"tech, travel, fitness",0.89
U26,24,M,"food, fashion, sports",0.21
U27,26,M,"art, gaming, travel",0.61
U28,24,F,"fashion, travel, food",0.53
U29,21,F,"travel, gaming, fitness",0.38
U30,31,M,"literature, gaming, tech",0.3
U31,26,M,"music, sports, travel",0.47
U32,19,M,"gaming, food, literature",0.95
U33,32,M,"tech, sports, music",0.46
U34,24,F,"sports, fashion, gaming",0.62
U35,29,F,"food, tech, music",0.76
U36,25,F,"travel, fitness, food",0.49
U37,32,F,"fitness, fashion, food",0.98
U38,20,M,"gaming, art, fashion",0.97
U39,31,F,"literature, fitness, art",0.4
U40,34,F,"fashion, food, sports",0.6
U41,21,F,"sports, literature, fashion",0.44
U42,25,F,"literature, fashion, art",0.43
U43,21,F,"tech, fitness, food",0.23
U44,19,F,"food, literature, travel",0.69
U45,23,M,"food, sports, fitness",0.6
U46,27,M,"music, literature, food",0.24
U47,21,M,"music, sports, fitness",0.42
U48,29,M,"gaming, literature, travel",0.93
U49,19,F,"music, art, fashion",0.39
U50,27,M,"music, travel, fitness",0.32
